Blog	fix	address	social	university	talked	comfort	direction	sold	term	kinda	taught	skin	gotta	enter	considered	orange	bill	blame	whose	besides	common	lesson	report	odd	february	effect	presents	slept	uncle	fat	trouble	sell	cost	fantastic	tells	among	restaurant	decision	colors	setting	possibly	unique	bird	article	broke	fully	included	mountain	joined	becoming	crap	tough	various	milk	soft	crowd	riding	similar	headed	miles	knowledge	cheap	remind	reminds	garden	kiss	cd	spread	till	heat	daughter	aware	album	checked	sugar	willing	goal	consider	bags	doctor	built	smiling	scene	product	cousin	performance	animal	island	shoot	losing	gifts	advice	match	heads	related	pages	grade	pants	master	eve	swimming	yours	agree	jesus	clearly	picking	language	students	national	crying	interview	fans	ladies	holidays	release	opinion	tickets	wet	lie	north	blogger	attend	vacation	failed	allow	media	halloween	digital	videos	paint	breaking	health	challenge	issue	teeth	mixed	expected	via	checking	suddenly	harder	ending	bringing	dogs	battle	inspired	seat	joke	flight	sight	official	birds	answers	neither	runs	east	artist	stone	account	projects	shut	remembered	classes	edge	festival	sets	friendly	hide	seven	magazine	career	weight	thus	episode	describe	quote	everybody	hadn	net	pizza	feelings	fellow	degrees	happiness	jack	plenty	schedule	plays	french	desk	otherwise	anniversary	success	sand	mid	begins	storm	blogs	community	path	camp	player	credit	tall	cheese	midnight	river	education	van	jobs	circle	pure	pack	powerful	balance	shots	response	available	handle	vs	boxes	lake	sees	personally	prepared	barely	training	receive	cleaning	giant	google	drinks	golden	hat	chair	research	ordered	police	finger	adventure	babies	parties	ah	sex	impossible	packed	distance	normally	feed	tune	rolling	sale	paul	terrible	becomes	calm	goodness	position	honor	musical	forgotten	hits	likely	ears	numbers	ability	wanna	press	led	boss	fighting	tight	listened	noise	tom	states	student	private	society	james	force	disappointed	text	bathroom	hearts	arm	exact	traffic	reached	sometime	guilty	rare	vote	forth	minor	em	killed	member	shower	constantly	rocks	ain	reminded	loose	confused	typical	movement	progress	plastic	review	blow	jam	jeans	grew	culture	library	pics	science	dust	beer	model	decent	san	lessons	officially	directly	selling	damn	folks	butter	staff	aside	topic	shake	signed	false	easter	fourth	cash	deserve	leading	higher	copy	birth	surgery	candy	ups	eight	paying	suit	obvious	salt	professional	youtube	mary	attended	driver	york	cooking	provide	worried	laid	valentine	couch	sisters	lets	blast	indeed	classic	shit	cancer	delicious	value	pro	mission	items	excuse	proper	toy	released	creating	piano	rough	waste	inspiration	bread	lyrics	cell	evil	lord	pulling	considering	holds	yard	faster	lying	sports	kinds	adventures	santa	download	design	painted	doors	angry	meal	visited	prefer	walks	attitude	animals	puts	rule	wore	suppose	option	windows	therefore	role	vision	clock	despite	compared	traditional	degree	avoid	faith	correct	recommend	pleasure	studio	cried	raise	solid	drama	grateful	hungry	activities	plane	target	covers	entry	accident	younger	trips	sang	awake	aunt	concept	gain	waited	bank	somebody	impressed	swing	drunk	sides	celebration	families	fool	juice	attack	walls	serve	overall	pet	curious	appear	experienced	print	hung	ipod	tag	continues	saved	nap	threw	precious	ignore	task	shirts	saving	web	adorable	ticket	tend	necessary	angel	dates	stood	falls	drawing	highly	freedom	modern	stress	bowl	q	finds	stomach
Joy's Hope	30	10	14	1	10	37	5	20	3	0	20	8	3	30	9	36	5	17	12	38	3	35	8	5	9	6	10	20	1	13	25	29	17	21	7	11	16	4	47	14	18	19	19	4	24	13	21	12	8	6	3	25	4	45	18	10	4	13	21	59	16	28	5	5	17	5	7	23	2	29	58	10	28	13	101	17	44	23	64	25	16	10	18	20	10	0	15	25	24	11	55	24	23	6	11	21	17	22	5	7	27	28	6	79	3	8	11	14	1	73	0	6	11	4	2	5	11	25	16	3	36	4	30	9	2	20	22	8	9	128	13	9	45	12	21	9	7	44	12	60	10	19	24	16	7	50	13	6	18	10	1	9	14	7	6	2	4	1	7	32	10	9	1	33	1	10	20	21	29	20	4	4	15	6	5	10	1	4	5	24	41	3	12	85	8	7	26	5	15	7	4	21	14	31	4	8	10	25	30	8	41	5	10	14	45	17	3	3	28	11	10	5	45	6	3	10	2	39	32	4	18	39	11	4	16	19	21	11	37	42	35	8	13	22	27	7	33	3	5	42	45	27	1	0	24	20	3	15	23	3	12	43	4	2	4	13	66	2	24	5	10	3	20	9	10	21	0	23	15	3	20	7	5	21	3	10	9	2	2	3	8	2	27	12	59	9	33	8	2	4	10	10	20	6	3	1	3	14	29	39	8	2	7	14	6	6	6	6	17	0	0	8	27	17	3	11	32	16	20	4	9	3	7	11	7	13	14	0	3	71	7	10	8	10	13	3	36	30	5	10	3	1	8	14	12	67	13	31	6	7	3	20	6	4	4	3	8	1	26	7	8	6	16	33	44	35	3	8	9	0	17	49	9	2	8	49	16	11	11	1	17	2	10	9	23	45	5	12	40	38	4	18	12	25	11	10	7	17	55	21	42	35	28	6	16	35	18	19	4	3	11	11	10	13	29	10	10	3	2	3	3	5	1	2	6	10	22	6	13	5	24	37	24	6	51	10	16	6	24	107	13	44	14	4	18	7	7	10	1	2	13	3	14	1	9	2	25	13	21	4	12	27	18	27	5	6	5	6	3	97	10	8	23	8	30	36	16	30	9	11	24	18	2	46	11	4	13	14	11	13	5	6	5	13	12	19	53	2	18	4
...75 and Sunny...	1	5	0	2	1	1	3	1	3	0	3	4	5	5	1	3	1	0	5	0	2	6	1	2	3	2	1	1	0	3	4	2	2	10	3	5	4	3	3	1	5	4	1	1	4	0	2	12	3	2	0	6	0	0	2	3	10	1	10	17	5	3	4	2	11	2	12	1	1	3	1	0	0	2	0	4	1	5	1	2	3	4	1	0	0	0	5	0	0	3	9	1	0	4	1	5	1	3	4	2	4	1	4	20	2	2	4	0	6	4	0	0	4	0	0	1	1	6	1	1	0	0	14	2	8	0	1	1	0	3	2	2	1	4	8	1	2	2	1	4	2	3	8	2	2	0	2	2	1	5	0	2	2	1	0	5	2	1	2	7	0	3	1	4	1	0	1	2	15	0	2	2	2	0	3	3	3	3	1	1	1	2	3	8	0	2	8	0	1	2	0	4	0	4	0	1	4	4	6	13	8	3	0	4	1	1	2	2	2	2	4	1	3	3	1	2	0	4	1	1	6	3	2	0	0	0	8	5	0	0	0	2	0	0	2	3	2	0	4	6	3	1	11	0	2	5	1	0	8	0	1	0	1	0	5	3	8	2	2	0	5	0	1	6	1	9	0	0	3	1	3	1	2	0	5	1	1	1	5	1	0	3	0	3	11	6	1	3	3	1	2	3	3	3	12	3	1	1	3	7	3	0	5	4	0	0	0	2	2	1	1	0	0	8	1	6	6	9	5	4	0	2	5	4	2	1	1	0	2	2	1	7	2	1	1	16	0	2	1	8	1	1	1	6	3	4	4	1	1	2	0	2	1	0	3	0	1	1	2	0	0	2	0	0	13	1	7	1	0	0	2	6	1	0	3	1	1	2	3	1	2	4	1	2	1	5	0	2	8	92	2	2	2	9	0	3	1	3	6	3	0	1	3	0	1	10	3	2	5	0	2	3	1	2	1	0	1	3	5	2	0	18	0	0	1	1	20	5	3	3	1	7	2	2	0	3	0	1	1	4	1	3	0	4	4	2	0	0	4	2	0	1	0	4	1	2	3	3	4	1	2	0	3	6	0	4	4	1	1	0	3	0	5	5	5	6	1	6	0	4	1	3	1	11	2	2	6	5	3	2	3	1	4	2	0	1	4	0	2	0
The Ashley Adventures	5	5	5	8	6	2	2	3	4	0	4	0	9	2	4	3	0	1	2	3	1	10	4	0	2	0	12	8	15	1	1	3	6	3	1	2	11	14	5	3	2	2	12	3	6	1	4	6	2	4	0	2	2	13	3	1	10	9	5	5	2	7	0	1	5	3	5	2	5	7	9	2	1	9	14	6	4	0	3	23	6	2	1	1	9	3	7	8	2	3	13	13	3	2	2	3	2	4	0	2	11	3	0	12	0	8	3	8	16	5	2	4	4	11	1	20	3	3	5	8	42	6	10	0	0	1	14	2	5	4	2	1	5	1	2	2	2	0	6	0	3	4	2	6	2	1	5	2	4	1	0	5	3	1	2	2	0	0	0	4	0	3	10	1	3	0	2	0	1	3	4	10	1	1	4	6	1	1	0	12	1	0	9	11	2	1	6	1	3	0	1	9	1	3	0	0	2	4	3	0	4	7	4	6	26	2	9	2	0	1	1	1	2	2	3	5	0	1	1	2	4	16	4	2	4	2	7	2	6	3	0	2	4	0	8	4	3	2	2	8	22	2	0	3	0	6	2	1	3	0	5	2	0	2	1	1	4	0	3	1	1	0	1	2	1	2	0	1	0	6	0	1	1	2	4	1	4	2	2	0	1	10	2	5	1	0	2	1	0	1	3	3	2	3	0	5	0	4	7	3	0	1	2	1	4	4	2	3	2	2	0	0	2	2	0	22	20	0	0	1	1	0	1	9	6	0	3	0	1	17	2	6	1	1	5	1	32	2	6	4	2	2	4	10	5	9	4	1	0	0	1	15	1	2	4	3	2	4	9	3	1	1	10	0	26	5	15	0	4	0	1	6	2	1	9	7	3	0	7	1	1	3	2	1	2	2	1	1	0	5	1	0	6	10	1	0	3	2	5	22	0	0	2	0	0	10	9	4	7	2	20	0	1	3	0	1	2	0	4	1	0	1	1	7	1	2	16	0	18	3	1	8	3	1	0	32	2	10	3	0	0	2	1	3	2	4	5	16	0	3	2	7	0	5	2	0	4	4	11	0	0	0	0	10	2	8	3	1	3	2	1	6	6	4	4	6	4	3	1	3	3	4	0	10	2	2	0	10	4	4	2	1	13	1	1	6	10	0	2	5
GZ in da houseeee :D	0	0	0	3	1	0	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	1	2	1	0	0	0	0	0	4	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	1	0	0	3	0	2	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	15	0	3	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	5	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	5	0	0	0	0	2	0	1	0	4	10	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	2
Jesnicole	22	2	2	1	18	127	2	1	5	7	11	3	0	11	5	0	4	6	4	5	5	14	2	13	7	0	2	4	3	1	16	3	6	1	12	12	2	12	1	2	1	1	6	0	0	15	4	0	2	3	5	21	5	6	3	1	0	0	1	1	10	14	29	23	3	12	2	12	0	0	24	6	3	7	4	5	0	5	0	9	3	7	0	1	1	0	3	0	0	33	13	3	0	3	0	2	2	0	2	2	2	10	5	116	3	7	10	0	0	48	0	0	13	10	2	2	1	2	11	0	0	1	4	5	8	3	0	0	0	1	2	12	0	7	1	0	8	0	1	2	20	2	10	2	1	4	0	2	1	3	1	1	32	6	5	2	0	3	10	0	22	13	0	3	2	2	0	19	14	1	1	8	2	3	33	7	11	2	3	2	36	0	3	28	1	7	4	1	0	0	2	16	1	4	1	4	6	3	9	8	1	3	1	6	1	0	2	5	5	6	2	12	1	7	3	1	2	1	33	0	5	2	8	3	2	1	0	4	11	6	0	2	0	1	1	1	1	0	3	0	13	1	2	1	6	1	4	1	7	5	0	1	3	2	6	6	8	0	2	0	11	2	1	14	0	6	0	2	2	0	10	5	4	0	0	0	1	4	5	13	0	0	2	1	47	7	7	0	1	6	11	2	3	11	0	2	2	3	0	29	1	3	33	0	2	2	3	1	0	0	3	0	3	13	9	5	2	3	2	0	1	0	0	3	0	3	0	0	1	1	0	17	1	3	5	10	44	1	1	22	4	3	0	13	7	1	5	10	5	0	7	4	0	0	3	0	0	2	2	2	5	8	10	3	6	3	3	40	0	0	4	2	3	16	1	1	11	2	5	0	1	4	13	1	1	6	8	3	28	210	0	1	14	2	0	7	0	3	0	1	0	1	1	8	31	1	5	1	3	5	2	8	2	0	1	0	1	14	1	2	3	3	5	0	1	0	39	3	4	2	0	38	5	1	0	9	9	1	1	0	2	1	0	10	3	1	5	5	0	7	4	4	16	0	1	3	3	1	4	8	1	1	1	20	0	2	2	1	17	1	2	1	11	12	2	4	1	41	50	2	0	2	0	10	0	4	1	11	4	7	9	3	6	12	1	4	1	0	4	4
a song for you	0	0	0	0	1	2	0	0	0	3	0	2	15	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	5	1	11	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	2	1	0	3	2	1	0	0	1	0	0	1	9	1	0	1	0	0	2	1	0	1	1	3	1	2	0	0	0	1	0	0	4	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	0	0	0	0	6	0	0	5	1	0	0	1	0	3	0	4	0	0	1	2	0	9	0	0	1	1	0	0	0	2	0	2	3	0	0	3	0	0	0	0	17	0	0	0	1	1	0	0	3	1	0	4	0	2	0	0	0	6	1	3	3	0	0	2	0	1	1	0	0	1	2	1	5	2	1	1	3	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	1	2	0	3	6	0	0	0	2	1	0	0	0	0	0	0	0	2	0	3	3	8	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	16	1	1	0	1	1	0	0	1	0	0	1	0	1	2	2	1	0	7	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	8	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	2	1	2	1	0	0	0	8	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	6	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	0	6	0	1	0	2	0	5	1	0	2	0	1	2	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	1	0	0	0	5	0	0	0	0	2	6	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	6	0	0	1	0	1	0	4	0	2	4	4	0	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	0	11	0	0	2	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0
Reaktor Tips	13	15	1	0	0	0	2	1	1	0	0	3	1	6	1	0	0	0	1	3	2	1	1	0	0	24	0	0	0	1	1	0	2	8	1	2	0	1	1	11	1	12	0	4	0	3	15	0	0	0	2	0	8	1	1	0	0	3	0	0	1	4	1	0	0	0	0	4	1	0	0	2	0	1	0	0	3	0	0	1	22	0	0	3	0	7	0	0	0	0	0	1	4	2	6	5	0	0	3	0	0	2	0	0	0	1	1	0	0	0	0	0	2	1	20	4	0	4	0	0	2	0	0	0	6	5	0	6	5	0	0	0	0	5	0	0	3	5	2	0	0	0	2	0	0	7	0	1	0	0	1	1	0	1	3	0	0	1	4	0	0	0	1	0	0	9	2	0	1	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	1	0	5	2	0	2	0	0	0	0	0	0	0	0	1	0	10	0	0	1	1	0	0	0	0	1	4	16	5	2	6	1	13	1	0	0	0	0	0	0	1	0	12	0	0	1	0	0	4	0	3	0	0	5	1	0	0	1	0	1	0	1	1	1	6	1	6	1	0	7	0	1	28	0	11	1	3	1	4	7	10	0	3	0	0	0	1	0	6	1	0	0	1	0	1	1	0	2	0	0	0	2	2	0	0	0	1	7	2	6	8	0	1	0	0	0	2	0	1	0	2	2	1	1	6	0	2	0	0	0	39	0	1	0	0	0	0	0	0	0	6	0	1	1	0	0	4	3	0	0	0	0	0	0	0	0	3	18	1	0	0	1	0	0	0	3	0	0	0	0	0	4	0	3	4	0	0	0	0	0	11	0	0	4	1	0	0	50	2	0	1	1	1	2	11	14	3	1	0	2	0	0	4	0	0	0	1	2	0	0	1	0	1	0	1	65	10	0	0	0	0	2	2	1	0	1	0	0	0	0	5	17	2	1	1	20	0	1	3	2	2	0	1	2	1	6	0	0	1	0	0	1	0	0	8	2	1	0	0	0	0	0	0	1	1	0	7	1	0	1	1	0	0	0	1	0	4	1	0	2	0	0	2	1	0	0	0	1	2	3	0	0	0	0	0	0	2	1	0	0	2	3	0	0	0	0	1	2	1	1	0	0	0	0	0
Laughing, Lace and Legos	1	2	1	1	13	3	0	1	1	0	0	1	1	2	1	7	3	0	1	3	1	2	3	1	2	1	0	3	1	0	0	3	0	0	1	0	1	0	4	2	0	0	5	2	6	0	2	6	7	1	1	0	3	1	1	4	6	2	26	7	0	1	0	0	6	2	3	0	1	6	2	1	6	3	2	1	2	1	8	3	2	0	2	3	4	17	9	12	1	0	2	0	1	4	2	3	3	1	4	10	12	0	0	0	1	4	6	1	5	2	1	0	0	0	3	1	4	1	0	14	7	5	7	1	1	1	17	1	2	2	1	0	15	7	3	3	2	3	5	0	1	1	0	1	3	3	1	3	10	1	4	8	2	0	2	3	2	0	2	10	0	2	3	2	7	0	2	3	1	4	0	1	0	0	1	0	0	6	4	2	0	2	2	0	3	1	1	1	1	1	1	2	0	1	5	0	2	0	1	1	70	0	1	2	4	2	12	2	2	0	3	0	6	1	1	2	1	1	1	2	3	10	0	1	1	1	1	4	0	9	2	0	0	8	1	7	3	0	4	4	1	0	1	0	0	2	1	3	2	0	2	3	7	0	0	2	3	0	2	1	0	2	0	1	1	0	0	0	3	0	0	0	2	1	0	3	2	2	1	0	1	2	0	0	2	1	2	1	2	0	0	7	0	2	1	0	1	3	5	0	13	0	1	4	0	0	0	2	5	5	1	0	3	0	0	5	4	13	1	0	4	0	3	9	6	4	0	0	0	4	3	0	3	1	6	0	2	2	0	1	1	0	0	1	3	2	2	0	2	0	0	13	0	1	3	3	1	0	0	1	3	4	3	3	3	0	13	0	2	0	0	1	1	0	3	0	1	2	1	0	0	2	1	0	1	0	0	3	0	0	4	0	0	1	0	0	1	7	3	7	0	4	3	2	4	1	0	2	0	2	3	2	1	5	0	1	1	1	0	2	0	2	0	4	0	0	0	0	2	1	1	3	0	2	4	0	0	13	2	5	2	3	0	1	0	1	1	3	1	1	6	4	1	5	1	0	1	4	5	1	6	0	1	4	0	0	2	1	1	2	3	4	1	1	0	3	3	0	0	3	1	1	0	2	6	3	0	1	0	1	2	6	1	0	0	0	2	2	3	0
Cassandra Webb	18	8	9	4	28	16	6	3	6	31	13	9	35	20	7	20	4	14	16	10	11	25	14	8	10	9	14	27	9	74	18	17	11	22	8	21	25	26	13	10	10	3	14	6	10	7	10	7	6	10	48	10	13	17	8	6	6	1	81	11	8	21	14	17	10	18	20	10	0	14	21	5	3	24	26	18	19	22	13	60	1	2	10	14	3	4	3	2	31	8	20	17	10	13	10	24	48	21	40	11	5	14	7	24	8	7	11	34	5	23	29	14	6	12	3	11	17	11	16	13	19	6	17	7	8	23	23	6	7	20	9	16	27	19	28	6	15	10	15	11	8	17	10	15	4	16	9	10	7	10	37	8	10	20	6	5	1	4	20	14	8	11	35	6	0	8	7	5	9	12	11	67	11	9	13	12	3	17	5	17	22	5	6	24	10	10	18	4	6	16	9	45	10	3	2	7	7	33	13	5	14	17	9	7	61	8	14	11	9	7	7	13	22	3	2	23	15	13	18	2	4	10	4	2	11	11	16	19	30	0	10	9	5	8	13	30	19	13	9	8	58	5	35	29	8	17	3	20	5	13	10	20	6	39	1	7	47	19	7	5	5	4	10	9	9	14	29	14	5	3	13	9	10	5	2	8	29	39	5	41	16	14	9	63	5	12	8	10	2	26	8	4	9	12	5	8	5	17	44	18	5	16	11	3	5	5	4	11	10	17	11	3	26	8	4	12	4	14	2	28	6	5	35	6	23	2	0	11	21	23	3	15	2	23	13	4	4	0	19	11	4	12	13	13	29	15	14	8	11	9	5	15	14	4	10	9	5	7	21	5	18	19	19	27	2	2	11	36	4	0	4	40	6	3	12	17	9	11	3	8	9	3	7	13	11	12	9	10	10	27	5	15	4	9	8	7	3	1	6	7	3	13	12	7	19	25	7	6	7	8	3	1	3	14	33	9	7	10	10	7	12	29	4	5	15	7	20	4	8	7	4	49	4	3	2	2	9	6	31	6	3	7	7	3	5	10	24	3	12	4	10	5	9	4	2	6	7	2	6	12	9	3	10	6	20	7	1	9	11	15	12	6	13	11	9	18	18	22	8	3	5	7	20	13	5	13	18	14	4	9	4	6	9	15	2	15	27	2	3	31
Musings of a chick	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	4	2	0	0	1	0	0	0	1	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
My thoughts, poems and short stories	1	0	0	0	0	4	4	0	0	0	3	6	0	0	0	3	0	1	0	0	0	1	0	1	0	2	1	0	1	0	1	0	0	0	2	1	0	1	1	0	0	0	0	0	0	3	0	0	1	2	1	6	0	0	3	1	0	1	0	1	0	0	2	3	2	2	0	0	2	2	1	3	0	0	1	1	2	1	0	0	2	6	1	0	0	0	0	0	0	0	0	5	1	0	0	11	0	2	0	0	0	6	0	0	4	2	1	0	0	0	1	0	0	0	6	1	0	3	4	1	0	0	0	0	0	0	0	0	0	4	2	0	0	0	3	2	1	0	1	1	5	2	1	1	6	0	7	1	2	3	0	0	5	0	4	0	0	1	0	0	6	0	0	6	0	0	1	8	0	1	0	1	0	0	0	0	0	1	0	0	9	0	0	3	0	0	0	4	1	2	0	0	0	2	1	14	1	0	0	17	0	0	0	3	0	0	0	0	0	1	4	7	0	8	3	0	1	0	4	0	0	0	6	0	1	6	0	1	0	0	0	0	4	1	1	0	0	0	5	0	1	0	0	0	3	0	2	1	0	0	3	0	0	0	5	5	0	1	0	1	4	2	0	5	0	2	3	1	2	0	2	9	1	1	0	0	1	0	0	0	5	0	1	0	12	7	0	3	1	0	0	0	0	3	0	0	0	0	0	0	3	0	2	7	1	0	4	0	1	0	0	0	2	5	0	0	0	0	3	0	0	1	0	8	0	2	0	0	0	0	0	1	1	5	0	2	0	0	0	1	1	1	0	0	0	1	3	0	1	1	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2	2	2	2	0	1	1	0	1	1	2	0	2	0	8	0	10	3	0	0	0	0	0	0	2	3	1	1	0	0	16	2	1	3	0	1	0	0	3	0	2	1	0	0	0	0	0	3	10	0	0	1	0	1	0	1	0	0	0	0	0	2	1	0	2	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	3	1	0	2	2	3	0	2	0	3	1	13	0	0	0	3	2	1	0	0	0	0	1	0	0	4	0	3	5	0	0	0	0	4	0	0	3	1
It's all about me!   & and a little about them............	8	25	0	2	3	2	2	3	13	0	4	0	4	7	1	14	4	1	0	2	0	8	0	5	19	16	10	3	2	0	9	3	3	46	0	0	7	1	1	3	0	3	0	1	10	0	0	1	10	3	6	1	2	3	13	0	2	1	12	6	1	2	0	2	9	1	1	4	6	13	21	2	21	2	0	2	8	0	7	1	0	2	1	7	1	1	1	2	1	4	3	2	11	0	5	9	10	8	3	2	19	0	1	0	1	2	0	3	1	3	0	2	5	33	1	1	3	5	1	4	8	3	1	1	3	4	8	11	0	5	1	1	509	2	9	11	3	0	5	0	0	0	2	0	5	16	1	2	6	0	1	1	1	2	2	0	2	1	1	13	0	3	12	0	2	10	7	3	1	3	0	6	0	0	0	3	4	5	6	3	0	5	0	3	0	6	2	0	1	6	5	8	1	8	3	2	2	53	1	0	2	2	24	0	3	43	4	2	8	12	13	2	40	0	1	9	0	8	2	0	3	0	0	1	2	0	14	8	12	2	1	5	7	7	2	1	4	0	0	1	4	1	12	0	0	8	2	3	3	2	0	6	0	7	1	5	40	2	0	0	6	0	0	3	12	2	1	10	2	0	1	1	1	1	10	1	1	8	0	0	0	12	5	2	5	3	1	2	0	3	1	3	4	0	0	2	3	5	5	1	1	0	1	2	1	3	2	2	1	0	1	0	3	1	0	0	5	0	0	0	4	4	0	9	1	1	3	0	3	0	8	2	1	1	0	0	10	3	2	1	0	2	3	2	1	4	3	1	4	13	2	0	1	1	3	5	1	1	12	3	6	2	1	4	1	4	3	0	0	0	0	51	10	0	1	6	4	1	2	0	4	0	2	7	178	1	0	0	0	0	1	8	1	4	0	6	20	3	0	15	0	42	5	1	2	3	5	2	0	1	1	5	4	1	9	1	0	0	1	1	10	0	3	2	2	0	0	3	2	1	4	2	1	3	1	1	1	3	9	0	2	16	0	6	0	0	1	0	2	0	4	1	2	11	4	1	4	1	3	0	1	1	0	0	2	4	0	0	0	5	0	4	10	0	3	2	3	8	0	3	2	3	1	10	6	1	2	2	5	1	1	2	2	0	1	0	1	0	0	1
